#iPhone|Phone|iPhone|iPhone
#iPad|Tablet|iPad|iPad
#iPod|Phone|iPod|iPod
#iPod touch|Phone|iPod touch|iPod touch

# Based on:
# https://support.hockeyapp.net/kb/client-integration-ios-mac-os-x-tvos/ios-device-types
# https://www.theiphonewiki.com/wiki/Models
# https://gist.github.com/adamawolf/3048717

# DEVICE TYPE PRODUCT NAME
iPod3,1|Phone|iPod touch|iPod touch (3rd gen)
iPod4,1|Phone|iPod touch|iPod touch (4th gen)
iPod5,1|Phone|iPod touch|iPod touch (5th gen)
iPod7,1|Phone|iPod touch|iPod touch (6th gen)
iPod9,1|Phone|iPod touch|iPod touch (7th gen)

AppleTV1,1|Set-top box|Apple TV|iTV
AppleTV2,1|Set-top box|Apple TV|Apple TV 2G
AppleTV3,1|Set-top box|Apple TV|Apple TV 3
AppleTV3,2|Set-top box|Apple TV|Apple TV 3 (2013)
AppleTV5,3|Set-top box|Apple TV|Apple TV 4 (2015)
AppleTV6,2|Set-top box|Apple TV|Apple TV 4K

# Smart speaker
# AudioAccessory1,1 : HomePod
# AudioAccessory1,2 : HomePod (Unknown Model)
# AudioAccessory5,1 : HomePod Mini

MacBookAir10,1|Desktop|MacBook|MacBook Air (M1, Late 2020)
MacBookPro17,1|Desktop|MacBook|MacBook Pro (M1, Late 2020)
MacMini9,1|Desktop|Mac Mini|Mac Mini (M1, Late 2020)

# https://everymac.com/ultimate-mac-lookup/?search_keywords=ADP3,2
# Mac mini Developer Transition Kit (DTK)
ADP3,2|Desktop|Mac Mini|Mac Mini (DTK)
